frame,id,cx,cy,w,h
843,100,738,142,12,9
844,100,738,143,11,10
845,100,643,7,25,21
846,100,634,-6,16,16
847,100,604,-36,16,16
848,100,681,52,16,16
849,100,758,141,6,5
850,100,760,139,7,5
851,100,781,161,16,16
852,100,798,180,16,16
853,100,816,199,16,16
854,100,834,218,16,16
855,100,759,127,7,9
856,100,758,124,16,16
857,100,765,102,5,6
858,100,764,92,16,16
859,100,758,65,9,8
860,100,762,55,9,9
861,100,767,46,9,9
862,100,773,39,9,11
863,100,774,59,4,5
864,100,779,54,4,6
865,100,782,55,16,16
866,100,790,49,3,5
867,100,802,25,6,6
868,100,808,26,7,9
869,100,814,27,7,9
870,100,821,20,16,16
871,100,828,16,16,16
872,100,835,12,16,16
873,100,842,8,16,16
874,100,849,3,16,16
875,100,840,38,15,24
876,100,845,43,6,16
877,100,848,46,16,16
878,100,853,50,16,16
879,100,857,54,16,16
880,100,861,58,16,16
881,100,865,62,16,16
882,100,870,66,16,16
883,100,874,70,16,16
884,100,878,74,16,16
885,100,882,78,16,16
886,100,886,82,16,16
887,100,891,86,16,16
888,100,895,90,16,16
889,100,899,94,16,16
890,100,903,98,16,16
891,100,907,102,16,16
892,100,912,106,16,16
893,100,916,110,16,16
894,100,920,114,16,16
895,100,924,118,16,16
896,100,928,122,16,16
897,100,933,126,16,16
898,100,937,130,16,16
899,100,941,134,16,16
900,100,945,138,16,16
901,100,949,142,16,16
902,100,954,146,16,16
903,100,958,150,16,16
904,100,962,154,16,16
905,100,966,158,16,16
906,100,970,162,16,16
907,100,975,166,16,16
908,100,979,170,16,16
909,100,983,174,16,16
910,100,987,178,16,16
911,100,991,182,16,16
912,100,996,186,16,16
913,100,1000,190,16,16
914,100,1004,194,16,16
915,100,1008,198,16,16
916,100,1012,202,16,16
917,100,1017,206,16,16
918,100,1021,210,16,16
919,100,1025,214,16,16
920,100,1029,218,16,16
921,100,1033,222,16,16
922,100,1038,226,16,16
923,100,1042,230,16,16
924,100,1046,234,16,16
925,100,1050,238,16,16
926,100,1054,242,16,16
927,100,1059,246,16,16
928,100,1063,250,16,16
929,100,1067,254,16,16
930,100,1071,258,16,16
931,100,1075,262,16,16
932,100,1080,266,16,16
933,100,1084,270,16,16
934,100,1088,274,16,16
935,100,1092,278,16,16
936,100,1096,282,16,16
937,100,1101,286,16,16
938,100,1105,290,16,16
939,100,1109,294,16,16
940,100,1113,298,16,16
941,100,1117,302,16,16
942,100,1122,306,16,16
943,100,1126,310,16,16
944,100,1130,314,16,16
945,100,1134,318,16,16
946,100,1138,322,16,16
947,100,1143,326,16,16
948,100,1147,330,16,16
949,100,1151,334,16,16
950,100,1155,338,16,16
951,100,1160,342,16,16
952,100,1164,346,16,16
953,100,1168,350,16,16
954,100,1172,354,16,16
955,100,1176,358,16,16
956,100,1181,362,16,16
957,100,1185,366,16,16
958,100,1189,370,16,16
959,100,1193,374,16,16
960,100,1197,378,16,16
961,100,1202,382,16,16
962,100,1206,386,16,16
963,100,1210,390,16,16
